% Measurement ID: 3157
% Mode ID: 1
% Date and time: 2020-02-03 17:37:14
% Sample ID: PSE2-68
% Measurement type: spectrum
% Frequency [Hz]: 37866.91253589905
% Quality factor: 5833.688551602869
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
37884.88, -82.33272
37884.88, -82.31877
37885.88, -82.1566
37885.88, -82.20391
37885.88, -82.34147
37885.88, -82.43947
37885.88, -82.54116
37885.88, -82.64105
37885.88, -82.74097
37885.88, -82.64353
37886.88, -82.78057
37886.88, -83.15208
37886.88, -82.9633
37886.88, -82.47915
37886.88, -82.24354
37886.88, -82.07516
37886.88, -82.0918
37887.88, -82.2542
37887.88, -82.4596
37887.88, -82.74226
37887.88, -84.27669
37887.88, -84.57221
37887.88, -83.6288
37887.88, -83.48143
37887.88, -83.45178
37888.88, -83.34332
37888.88, -83.22156
37888.88, -82.9864
37888.88, -82.6712
37888.88, -82.75219
37888.88, -82.87767
37888.88, -83.04763
37889.88, -83.32885
37889.88, -83.69906
37889.88, -84.04509
37889.88, -84.40466
37889.88, -84.39293
37889.88, -84.13818
37889.88, -84.14145
37889.88, -84.23572
37890.88, -84.45663
37890.88, -84.4281
37890.88, -84.15013
37890.88, -83.99426
37890.88, -83.83662
37890.88, -83.74387
37890.88, -83.69379
37891.88, -83.68572
37891.88, -83.71989
37891.88, -83.75686
37891.88, -83.8098
37891.88, -84.24846
37891.88, -84.47895
37891.88, -84.50125
37891.88, -84.59563
37892.88, -84.66867
37892.88, -84.73524
37892.88, -84.7904
37892.88, -84.71924
37892.88, -84.56007
37892.88, -84.39689
37892.88, -84.20171
37893.88, -84.19599
37893.88, -84.16149
37893.88, -84.09822
37893.88, -84.3411
37893.88, -84.7785
37893.88, -84.96277
37893.88, -85.04313
37893.88, -85.13343
37894.88, -85.19573
37894.88, -85.44729
37894.88, -85.81568
37894.88, -86.24295
37894.88, -86.07924
37894.88, -85.32454
37894.88, -85.33658
37895.88, -85.6628
37895.88, -86.03574
37895.88, -86.54456
37895.88, -86.74318
37895.88, -86.78029
37895.88, -86.77374
37895.88, -86.68426
37895.88, -86.24267
37896.88, -86.04822
37896.88, -86.1009
37896.88, -85.96077
37896.88, -85.77448
37896.88, -85.81722
37896.88, -85.99724
37896.88, -86.07065
37897.88, -86.11875
37897.88, -85.99137
37897.88, -85.73856
37897.88, -85.1767
37897.88, -84.92381
37897.88, -84.97988
37897.88, -85.12773
37897.88, -85.43976
37898.88, -85.54938
37898.88, -85.57878
37898.88, -85.50635
37898.88, -85.3393
37898.88, -85.32016
37898.88, -85.36809
37898.88, -85.20145
37899.88, -85.13223
37899.88, -85.16043
37899.88, -85.00745
37899.88, -84.76615
37899.88, -84.75654
37899.88, -84.87195
37899.88, -85.11344
37899.88, -85.48067
37900.88, -85.87213
37900.88, -86.32164
37900.88, -87.11518
37900.88, -87.11157
37900.88, -86.31081
37900.88, -86.13895
37900.88, -86.12066
37901.88, -86.10175
37901.88, -86.13362
37901.88, -86.0009
37901.88, -85.77538
37901.88, -85.60369
37901.88, -85.43695
37901.88, -85.77847
37901.88, -85.75948
37902.88, -85.37999
37902.88, -85.40051
37902.88, -85.56755
37902.88, -85.74418
37902.88, -85.97603
37902.88, -86.3813
37902.88, -86.9206
37903.88, -86.97782
37903.88, -86.75834
37903.88, -86.38742
37903.88, -86.20275
37903.88, -86.20434
37903.88, -86.14513
37903.88, -86.10747
37903.88, -86.19977
37904.88, -86.3859
37904.88, -86.60684
37904.88, -86.88226
37904.88, -87.0214
37904.88, -87.08785
37904.88, -86.6173
37904.88, -86.52281
37905.88, -86.80436
37905.88, -86.75463
37905.88, -86.60939
37905.88, -86.73264
37905.88, -87.00304
37905.88, -87.11855
37905.88, -87.17984
37905.88, -86.90803
37906.88, -86.66091
37906.88, -86.43849
37906.88, -86.23611
37906.88, -86.05533
37906.88, -86.02617
37906.88, -86.10528
37906.88, -86.31062
37907.88, -86.63622
37907.88, -86.88139
37907.88, -87.11305
37907.88, -86.93109
37907.88, -87.07717
37907.88, -87.55127
37907.88, -87.61879
37907.88, -87.52461
37908.88, -87.25154
37908.88, -86.80532
37908.88, -86.70604
37908.88, -86.78034
37908.88, -86.8701
37908.88, -87.02802
37908.88, -87.75909
37909.88, -88.05307
37909.88, -87.90996
37909.88, -87.92111
37909.88, -87.88941
37909.88, -87.81464
37909.88, -87.69685
37909.88, -87.7519
37909.88, -87.90782
37910.88, -87.79114
37910.88, -87.52635
37910.88, -87.23624
37910.88, -87.18844
37910.88, -87.38295
37910.88, -87.61603
37910.88, -87.95559
37911.88, -88.25567
37911.88, -88.56493
37911.88, -88.7748
37911.88, -88.92148
37911.88, -88.98026
37911.88, -88.95937
37911.88, -88.78331
37911.88, -88.67287
37912.88, -88.62807
37912.88, -88.57568
37912.88, -88.54012
37912.88, -88.40533
37912.88, -88.21
37912.88, -88.07526
